METHOD;ITEMCOUNT;MEAN (us);P95 (us);GEN 0;GEN 1;GEN 2;ALLOCATED (KB)
SmallWebApiZeroFormatterHttpClientAsync;10;1090.9;1134.9;74.2188;9.7656;0;236.5
SmallWebApiZeroFormatterHttpWebRequest;10;582.3;601;43.9453;12.6953;0;140.3
SmallAspNetCoreJsonNetHttpClient;10;880.8;945.4;21.4844;0;0;68
SmallAspNetCoreJsonNetHttpClientAsync;10;911.8;952.9;22.4609;0;0;69.49
SmallAspNetCoreJsonNetHttpWebRequest;10;475.1;490;18.0664;0;0;55.92
SmallAspNetCoreMessagePackHttpClient;10;630.9;709.1;13.6719;0;0;44.07
SmallAspNetCoreMessagePackHttpClientAsync;10;637.5;758.3;14.6484;0;0;46.57
SmallAspNetCoreMessagePackHttpWebRequest;10;390.9;417.5;10.2539;0;0;32.97
SmallAspNetCoreMsgPackCliHttpClient;10;1151;1183.6;85.9375;0;0;266.94
SmallAspNetCoreMsgPackCliHttpClientAsync;10;1151.1;1189.9;85.9375;1.9531;0;268.67
SmallAspNetCoreMsgPackCliHttpWebRequest;10;563.8;581.4;58.1055;0.4883;0;182.12
SmallAspNetCoreXmlHttpClient;10;1034.2;1073.7;35.1563;0;0;110.05
SmallAspNetCoreXmlHttpClientAsync;10;1057.3;1085.7;33.2031;0;0;107.46
SmallAspNetCoreXmlHttpWebRequest;10;581.2;609.5;31.25;0;0;97.05
SmallAspNetCoreUtf8JsonHttpClient;10;770.1;850.2;12.6953;0;0;41.85
SmallAspNetCoreUtf8JsonHttpClientAsync;10;813.2;898.3;13.6719;0;0;43.68
SmallAspNetCoreUtf8JsonHttpWebRequest;10;496.5;512.9;8.7891;0;0;28.22
SmallAspNetCoreZeroFormatterHttpClient;10;681.4;769.1;43.9453;0;0;136.96
SmallAspNetCoreZeroFormatterHttpClientAsync;10;738.7;897.4;41.9922;0;0;132.09
SmallAspNetCoreZeroFormatterHttpWebRequest;10;375.9;394.6;11.7188;0;0;37.27
LargeWcfText;10;1416.8;1485.2;35.1563;7.8125;0;123.75
LargeWcfWebXml;10;1465.3;1532.9;35.1563;7.8125;0;127.42
LargeWcfWebJson;10;1704.8;1789.9;42.9688;9.7656;0;143.51
LargeWcfBinary;10;948.7;1024.2;35.1563;7.8125;0;112.34
LargeWcfNetTcp;10;745.7;775.9;29.2969;0;0;90.79
LargeWcfMsgPackCli;10;2952.6;3020.3;316.4063;78.125;0;1047.96
LargeWebApiJsonNetHttpClient;10;2357.2;2422.9;105.4688;15.625;0;352.19
LargeWebApiJsonNetHttpClientAsync;10;2250.2;2350.5;105.4688;19.5313;0;352.43
LargeWebApiJsonNetHttpWebRequest;10;1906.3;1922.9;87.8906;11.7188;0;300.53
LargeWebApiMessagePackHttpClient;10;1900.1;1928.1;74.2188;11.7188;0;256.83
LargeWebApiMessagePackHttpClientAsync;10;1899.3;1918.7;76.1719;13.6719;0;257.94
LargeWebApiMessagePackHttpWebRequest;10;1033.2;1156.7;64.4531;11.7188;0;228.96
LargeWebApiMsgPackCliHttpClient;10;3950.6;4195.4;343.75;101.5625;0;1107.1
LargeWebApiMsgPackCliHttpClientAsync;10;4116.9;4250.3;351.5625;101.5625;0;1109.45
LargeWebApiMsgPackCliHttpWebRequest;10;3015.2;3107.9;261.7188;42.9688;0;850.72
LargeWebApiXmlHttpClient;10;2493.4;2552.4;132.8125;19.5313;0;421.41
LargeWebApiXmlHttpClientAsync;10;2480.1;2564.5;117.1875;23.4375;0;419.88
LargeWebApiXmlHttpWebRequest;10;1800.1;1889.4;101.5625;15.625;0;352.29
LargeWebApiUtf8JsonHttpClientAsync;10;2038.8;2092.5;78.125;15.625;0;274.06
LargeWebApiUtf8JsonHttpWebRequest;10;1255.3;1291;68.3594;11.7188;0;235.99
LargeWebApiZeroFormatterHttpClient;10;2240.9;2296.1;179.6875;23.4375;0;556.4
LargeWebApiZeroFormatterHttpClientAsync;10;2231.9;2296.6;167.9688;31.25;0;551.97
LargeWebApiZeroFormatterHttpWebRequest;10;1086.4;1153.7;140.625;19.5313;0;453.42
LargeAspNetCoreJsonNetHttpClient;10;2379.7;2444.7;101.5625;0;0;319.88
LargeAspNetCoreJsonNetHttpClientAsync;10;2276.5;2367.5;97.6563;7.8125;0;314.11
LargeAspNetCoreJsonNetHttpWebRequest;10;1850.3;1906.1;80.0781;1.9531;0;248.12
LargeAspNetCoreMessagePackHttpClient;10;1918.2;1968.2;72.2656;0;0;226.34
LargeAspNetCoreMessagePackHttpClientAsync;10;1887.3;1928.9;72.2656;3.9063;0;225.47
LargeAspNetCoreMessagePackHttpWebRequest;10;1004.9;1092.8;54.6875;0;0;170.9
LargeAspNetCoreMsgPackCliHttpClient;10;3863.2;4074.2;328.125;39.0625;0;1079.12
LargeAspNetCoreMsgPackCliHttpClientAsync;10;3884.9;4069.2;320.3125;62.5;0;1076.46
LargeAspNetCoreMsgPackCliHttpWebRequest;10;2934.6;3032.9;261.7188;0;0;810.53
LargeAspNetCoreXmlHttpClient;10;2441.5;2564.4;121.0938;15.625;0;390.76
LargeAspNetCoreXmlHttpClientAsync;10;2309.3;2418.6;117.1875;15.625;0;387.58
LargeAspNetCoreXmlHttpWebRequest;10;1832.4;1883.3;87.8906;1.9531;0;275.59
LargeAspNetCoreUtf8JsonHttpClient;10;2094.2;2132.6;74.2188;0;0;232.16
LargeAspNetCoreUtf8JsonHttpClientAsync;10;2001.8;2040.2;74.2188;0;0;228.23
LargeAspNetCoreUtf8JsonHttpWebRequest;10;1395.6;1437.7;54.6875;0;0;172.95
LargeAspNetCoreZeroFormatterHttpClient;10;2051.5;2088.9;136.7188;3.9063;0;422.55
LargeAspNetCoreZeroFormatterHttpClientAsync;10;2042.6;2085;132.8125;3.9063;0;419.67
LargeAspNetCoreZeroFormatterHttpWebRequest;10;1037.5;1129.9;103.5156;3.9063;0;325.47
SmallWcfText;100;942.8;1056;27.3438;0;0;89.15
SmallWcfWebXml;100;912.8;1011.6;30.2734;0;0;93.31
SmallWcfWebJson;100;1159.4;1255.2;29.2969;0;0;92.44
SmallWcfBinary;100;815.3;893.2;27.3438;0;0;86.43
SmallWcfNetTcp;100;540.2;592;18.5547;0;0;59.29
SmallWcfMsgPackCli;100;1335.9;1456.1;183.5938;27.3438;0;608.38
SmallWebApiJsonNetHttpClient;100;2083.6;2130.4;70.3125;7.8125;0;242.81
SmallWebApiJsonNetHttpClientAsync;100;1984.6;2042.8;70.3125;7.8125;0;243.21
SmallWebApiJsonNetHttpWebRequest;100;1171;1260.1;58.5938;9.7656;0;208.64
SmallWebApiMessagePackHttpClient;100;1212;1231.5;37.1094;9.7656;0;133.02
SmallWebApiMessagePackHttpClientAsync;100;1271.2;1424.3;37.1094;5.8594;0;132.95
SmallWebApiMessagePackHttpWebRequest;100;832;880.6;36.1328;10.7422;0;117.93
SmallWebApiMsgPackCliHttpClient;100;2451;2518.3;179.6875;15.625;0;575.5
SmallWebApiMsgPackCliHttpClientAsync;100;2306.5;2411.4;175.7813;19.5313;0;575.75
SmallWebApiMsgPackCliHttpWebRequest;100;1305.6;1341.5;113.2813;13.6719;0;386.04
SmallWebApiXmlHttpClient;100;2150.5;2200.4;74.2188;7.8125;0;269.46
SmallWebApiXmlHttpClientAsync;100;1998.5;2096.1;74.2188;7.8125;0;268.94
SmallWebApiXmlHttpWebRequest;100;1279.7;1325.1;68.3594;9.7656;0;242.99
SmallWebApiUtf8JsonHttpClient;100;1582.7;1631.7;39.0625;5.8594;0;140.72
SmallWebApiUtf8JsonHttpClientAsync;100;1652.5;1770.8;39.0625;7.8125;0;141.04
SmallWebApiUtf8JsonHttpWebRequest;100;755.1;792.2;36.1328;10.7422;0;117.63
SmallWebApiZeroFormatterHttpClient;100;1350.9;1422.6;103.5156;11.7188;0;342.53
SmallWebApiZeroFormatterHttpClientAsync;100;1342.6;1396.2;99.6094;11.7188;0;340.31
SmallWebApiZeroFormatterHttpWebRequest;100;683;706.2;72.2656;10.7422;0;245.19
SmallAspNetCoreJsonNetHttpClient;100;2069.1;2128.2;62.5;0;0;200.16
SmallAspNetCoreJsonNetHttpClientAsync;100;1951.7;2002.4;66.4063;0;0;204.71
SmallAspNetCoreJsonNetHttpWebRequest;100;1217.3;1367.3;50.7813;0;0;161.44
SmallAspNetCoreMessagePackHttpClient;100;1065.4;1133.9;29.2969;0;0;93.2
SmallAspNetCoreMessagePackHttpClientAsync;100;1065.1;1169.8;29.2969;0;0;93.98
SmallAspNetCoreMessagePackHttpWebRequest;100;629.9;668.2;24.4141;0;0;76.94
SmallAspNetCoreMsgPackCliHttpClient;100;2346.8;2440.4;171.875;0;0;542.28
SmallAspNetCoreMsgPackCliHttpClientAsync;100;2178.9;2268.5;171.875;0;0;534.97
SmallAspNetCoreMsgPackCliHttpWebRequest;100;1499.3;1571.4;117.1875;1.9531;0;363.42
SmallAspNetCoreXmlHttpClient;100;2121.8;2172.4;74.2188;0;0;230.88
SmallAspNetCoreXmlHttpClientAsync;100;2002.2;2041.1;74.2188;0;0;232.82
SmallAspNetCoreXmlHttpWebRequest;100;1406;1485.5;64.4531;0;0;202.55
SmallAspNetCoreUtf8JsonHttpClient;100;1402.6;1536.1;35.1563;0;0;110.85
SmallAspNetCoreUtf8JsonHttpClientAsync;100;1596.1;1766.4;35.1563;0;0;112.05
SmallAspNetCoreUtf8JsonHttpWebRequest;100;799.6;828.7;24.4141;0;0;76.38
SmallAspNetCoreZeroFormatterHttpClient;100;1116.5;1164.2;72.2656;0;0;225.11
